Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 Golden Age Hotel, GO_P1_R1,Unknown Author,N/A,Positive,The staff went beyond to help in all my needs
 Golden Age Hotel, GO_P1_R1,Unknown Author,N/A,Negative,It was all very good
 Golden Age Hotel, GO_P1_R2,Unknown Author,N/A,Positive,"Great breakfast, clean rooms, great service"
 Golden Age Hotel, GO_P1_R2,Unknown Author,N/A,Negative,Somebody was trying to open the door at the middle of the night!
 Golden Age Hotel, GO_P1_R3,Unknown Author,N/A,Positive,Lication mainly
 Golden Age Hotel, GO_P1_R3,Unknown Author,N/A,Negative,Lightning is not good
 Golden Age Hotel, GO_P1_R4,Unknown Author,N/A,Positive,Location and staff
 Golden Age Hotel, GO_P1_R4,Unknown Author,N/A,Negative,"Breakfast, ventilation
 during breakfast"
 Golden Age Hotel, GO_P1_R5,Unknown Author,N/A,Positive,Location breakfast cleanness good staff
 Golden Age Hotel, GO_P1_R5,Unknown Author,N/A,Negative,Problems of elevator/lift
 Golden Age Hotel, GO_P1_R6,Unknown Author,N/A,Positive,"One of the best hotels I’ve ever stayed in!
The location is perfect — just a few steps away from Taksim Square. The rooms are spacious and clean, breakfast is good, and the customer service is excellent.
Special thanks to Hakim Ramzna for his kindness and great help — he was always friendly and very cooperative. Highly recommended!"
 Golden Age Hotel, GO_P1_R7,Unknown Author,N/A,Positive,"Mesut from the reception he's the best ,he always ready to help.
Thank you 😊"
 Golden Age Hotel, GO_P1_R8,Unknown Author,N/A,Positive,"great location , clean lobby and helfull reception"
 Golden Age Hotel, GO_P1_R8,Unknown Author,N/A,Negative,"bad smell eminating from bathroom, rooms were not serviced with fresh cups,tea bags and sugar daily (had to request it daily) . breakfast room did not have milk for the cereals on the last day of stay( requested from waiter and was told they dont have ), they didnt even try to assist"
 Golden Age Hotel, GO_P1_R9,Unknown Author,N/A,Positive,The place is amazing around everything
 Golden Age Hotel, GO_P1_R9,Unknown Author,N/A,Negative,The receptionist 😤
 Golden Age Hotel, GO_P1_R10,Unknown Author,N/A,Positive,This is 2nd time I stay there and every time I will come back same hotel for sure
 Golden Age Hotel, GO_P1_R11,Unknown Author,N/A,Positive,"breakfast, staff, clean,.......etc"
 Golden Age Hotel, GO_P1_R12,Unknown Author,N/A,Positive,I asked for an early check in .. they upgrade me  and  checked in at 7am.
 Golden Age Hotel, GO_P1_R13,Unknown Author,N/A,Positive,"As expected of big city hotel. Clean, polite, with some nice touches at history. Wide breakfast choice and opening hours."
 Golden Age Hotel, GO_P1_R13,Unknown Author,N/A,Negative,Funny smell on top pool floor and pool very enclosed. Only one sachet of coffee per person in room. Afternoon tea advertised for an hour but cake ran out in first 30min. But these are minor. Overall good experience.
 Golden Age Hotel, GO_P1_R14,Unknown Author,N/A,Positive,"Very nice hotel ,breakfast,location everything was 👍"
 Golden Age Hotel, GO_P1_R15,Unknown Author,N/A,Positive,"Breakfast, location."
 Golden Age Hotel, GO_P1_R16,Unknown Author,N/A,Positive,"The staff were friendly and extremely helpful.
Location was ideal."
 Golden Age Hotel, GO_P1_R16,Unknown Author,N/A,Negative,The toilet is too close to the shower where you cannot actually sit on the loo properly as the shower glass is touching the toilet.
 Golden Age Hotel, GO_P1_R17,Unknown Author,N/A,Positive,"Everything was great from services, breakfast, and location.
i will come back again for sure."
 Golden Age Hotel, GO_P1_R17,Unknown Author,N/A,Negative,Everything was acceptable
 Golden Age Hotel, GO_P1_R18,Unknown Author,N/A,Positive,Location was perfect to move to most of the tourist destinations as access to metro is easy.
 Golden Age Hotel, GO_P1_R18,Unknown Author,N/A,Negative,"Things like towel and other basic necessities ( water, tea ) were not kept everyday until asked to do so."
 Golden Age Hotel, GO_P1_R19,Unknown Author,N/A,Positive,"Location was good. 
Hotel was cleaned organized and most things worked inside the room."
 Golden Age Hotel, GO_P1_R19,Unknown Author,N/A,Negative,"The AC went off 2 times for maybe 30 min. After complaining, it may have started again after 1 hour. The basin clogs up. Needs to be extensively cleaned well."
 Golden Age Hotel, GO_P1_R20,Unknown Author,N/A,Positive,The location is amazing and staff are so friendly
 Golden Age Hotel, GO_P1_R20,Unknown Author,N/A,Negative,The window was not shut properly and there a lot of noises every night and I couldn’t sleep at all
 Golden Age Hotel, GO_P1_R21,Unknown Author,N/A,Positive,The location
 Golden Age Hotel, GO_P1_R21,Unknown Author,N/A,Negative,The smell of the Bathroom detergents
